Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
1964.994787586509,-0.02095123756841187,16.80793514003329,-46.37001477421686
2079.798222580294,-0.01903096535971585,16.60071795296292,-48.56143317656621
2201.308967318424,0.01851680574095692,16.3467187859143,-50.58273751380409
2329.918891643553,0.02196623392045612,16.10119520395561,-52.2402519830547
2466.042760117587,0.04048079585272125,15.8571335547063,-54.53537886747904
2610.119569629524,-0.01653333520200628,15.65769389684341,-56.73428479127811
2762.613965152073,-0.01225847193481913,15.37413892325169,-58.60374940010989
2924.017738212866,0.04057308090080795,15.03126895633378,-60.62824651665526
3094.851412912785,0.0367943918696794,14.76873054492713,-63.03947360641069
3275.665924606298,0.04976957961784438,14.44508429022256,-65.07430383799448
3467.044396657504,0.03319151644888104,14.14400917206772,-67.11152821617685
3669.604021001906,0.05941516754301753,13.80777297193947,-69.22277228251531
3883.998048578666,0.07236904666357424,13.45400231788788,-71.37215574412471
4110.91789605249,0.04071741287146275,13.14307093117612,-73.39071936089798
4351.095375619197,0.04450161904695319,12.78461533287616,-75.87907500909034
4605.305055086172,0.07646794601881597,12.41581761391292,-77.87969940385888
4874.36675583883,0.1066446206220088,11.9895285611661,-80.1913761619587
5159.148196748966,0.1148454165799146,11.61226471020293,-82.45890594623864
5460.567792551683,0.1087020098702916,11.24680261494098,-84.69224417547898
5779.597615715405,0.1068566266936239,10.83371521833872,-86.85466671818205
6117.266531357141,0.09938472782474296,10.43300518054137,-89.14637063673982
6474.663515312955,0.1328635304293368,9.994640506047132,-91.66981345157124
6852.941166064297,0.09908914350436465,9.647012465221996,-93.94121091735258
7253.319421846229,0.1427430220235097,9.282195663285428,-96.33552605046722
7677.08949492507,0.1141432443194518,8.761870564212181,-98.59185968303086
8125.618035733363,0.1152074135535708,8.356426774529924,-101.0672724572309
8600.351540291613,0.1037495462674883,7.936834243282911,-102.8066315936433
9102.821015130405,0.1013998942863873,7.466712093555927,-105.5085319843524
9634.646914757404,0.07282718177702924,7.114917724038868,-108.2733904772606
10197.54436759236,0.1382248190643821,6.548118477490896,-111.5864446095244
10793.32870722362,0.1157062499861437,6.192382093214814,-112.9831033559355
11423.92132682452,0.1185625767738382,5.729361894375705,-115.8784603448714
12091.35587560979,0.08488164538549489,5.353925408748904,-118.9038040552975
12797.78481731564,0.1188892532330027,4.775176816759309,-122.512050646404
13545.48637185448,0.09912982108062648,4.479528424683785,-125.0102358985757
14336.87186253071,0.09049889232798854,3.922401316069478,-129.7900806271228
15174.49349251265,0.1044876645274546,3.598721367632675,-132.0882825919171
16061.05257563926,0.1042511035949583,3.306660929196955,-133.418053960938
16999.40824810587,0.1186603689240313,3.134256481704258,-134.1151403623329
17992.58668912415,0.04634972160002467,2.314156278863372,-140.9633718333795
19043.7908802925,0.06254648201521855,1.84365774113965,-145.3970240237975
20156.41093515083,0.1178853609379241,1.261167411981571,-149.8261531082786
21334.03503223242,0.05882203895023551,1.043161698168055,-154.8065878271638
22580.46098687132,0.1227822203058793,1.11898121264563,-158.9528616282587
23899.7084990848,0.12352890763392,4.924055173096138,-178.3392618666401
25296.0321170294,0.004193688979372672,-37.44937343183616,-49.81365315084088
26773.9349578379,-0.002525076583437707,-3.378220639683462,-152.1048821654476
28338.18323008663,0.04916206368523374,-0.8886831061267138,-177.1193737169808
29993.82160472731,0.04614092893375896,-1.014786243354941,-177.1860890777776
31746.18948405528,0.06130171056285884,-1.622443990614958,174.0013760409984
33600.93822118018,-0.03145437935212086,-3.448886981028802,166.8589368345703
35564.04934553248,0.0243177748684633,-2.197575054975792,167.350436335253
37641.85385318225,0.005640259760401525,-3.120889739233895,159.8925467932161
39841.05262418107,0.1791589797449282,-3.288461918606671,151.6743283816016
42168.73803277285,0.115246564809737,-6.688109921488459,134.8657292788978
44632.41682016619,0.05826586601632477,1.111673173383734,-124.4270184359832
47240.03430363178,0.05286343885636973,8.545989755369229,44.68594990626633
50000,0.07683490168163992,10.77787493234498,113.6969524993306
