#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321ABE52A
#Date Time: 2021-12-09 11:37:55.444
#Start: 100 Hz
#Stop: 50000 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 61.1815 V
#Offset: -0.00313441 V
#Relative: no
#Channel: Channel 2
#Range: 61.0913 V
#Offset: 0.00303711 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
5337.53582243876,-0.1303226514737304,-1.004308572853219,-47.07334112781959
5563.318655313677,-0.1275613346264179,-1.037359729303218,-48.09964463818675
5798.652316382892,-0.1103610969469944,-1.016187567930225,-50.16734994196911
6043.940814746816,-0.07195429726874888,-1.068698226912217,-52.27940248540413
6299.605249474367,-0.127374032647174,-1.015621221887841,-54.44408968645359
6566.084532524903,-0.1041112916891174,-0.9468450894768425,-56.58694989927271
6843.836142250362,-0.09060822224345949,-1.053703841551826,-58.84951517821813
7133.336908771306,-0.123609808224198,-0.928357946863792,-61.77751135625866
7435.083832575129,-0.1249940771808208,-0.9770914418489375,-63.79758417158109
7749.594937741685,-0.1109255658419964,-0.9835813752314265,-66.28039729903605
8077.410161261253,-0.1624824631490885,-0.8496789516562324,-69.22192381136743
8419.092279971408,-0.1065100630530416,-0.8145215028884828,-72.31826236719806
8775.227876704274,-0.09602514822482996,-0.9281145272257771,-75.60841497161118
9146.428347302706,-0.1182788194459986,-0.8024377475854236,-78.34785036651735
9533.33095023416,-0.07991888941884095,-0.7540573437017482,-81.94238746395453
9936.599900604322,-0.07047010729369579,-0.6903303729440304,-85.69889094274767
10356.92751044845,-0.1557046919051965,-0.5777865797212994,-89.965879699502
10795.03537725818,-0.08277249292423824,-0.5869581661241414,-95.00168129709577
11251.6756227842,-0.1684821224535898,-0.4790522636024631,-100.2138585147575
11727.63218424127,-0.1246881083593278,-0.426631212414034,-106.1769681231908
12223.72216013265,-0.206736788808612,0.2527821830881746,-117.1447282466675
12740.79721300408,-0.1786001602469351,-0.2479350485585781,-126.4073072171356
13279.74503153555,-0.1738683629569958,-0.5856849466889978,-128.0740999399595
13841.490854481,-0.1973072456685309,-0.852522679858188,-133.1369320985036
14426.99905907214,-0.2159124394910321,-1.098368362601097,-138.3979188563697
15037.27481661315,-0.2314297794453513,-1.494026645871309,-143.6329245888314
15673.36581810872,-0.2711243882174567,-1.749231379592763,-149.7930688678355
16336.36407288775,-0.2639942215639932,-2.109711314577726,-155.4374747981791
17027.40778331055,-0.2888863439057459,-2.109303201264703,-162.506875834181
17747.68329877786,-0.2486043299125055,-2.91842232644944,-166.7667466567833
18498.42715239644,-0.1940894568451851,-3.183526922249173,-171.7389488596644
19280.92818379749,-0.2590632623928558,-3.541530808096963,-177.2626578560709
20096.52975175224,-0.249439982126482,-3.853018798426401,177.5496884212243
20946.63204038333,-0.3036578593117271,-4.012250838457062,172.5031929875973
21832.69446293124,-0.2858055328811864,-4.402420654217122,165.0643098995434
22756.23816720202,-0.3523306291110977,-4.054244671286968,163.2212869581027
23718.84864699823,-0.2501323351803975,-6.8361052753107,136.831557098213
24722.17846401552,-0.24418265724729,-1.349152786675856,112.4634001276194
25767.95008487826,-0.3081122766740563,-0.9893996391680004,125.2808437597348
26857.95883818439,-0.3073209901650852,-4.444581738894964,128.5305365766837
27994.07599663607,-0.2619085431472555,-8.910850835640717,121.3445389326822
29178.25198954741,-0.2644076673878745,-8.569921149943534,105.973707250064
30412.51975124426,-0.1724276969112136,-9.595903403126039,98.99708062216325
31698.99821110458,-0.2758915529995734,-9.797082188452841,89.17722662857216
33039.89593123081,-0.2722124791669063,-10.77478470133811,76.65797823940062
34437.51489799911,-0.2702177925174041,-12.41431844725797,64.89859176969837
35894.25447399503,-0.3294730326057791,-14.45028627010486,48.62043391910028
37412.61551711941,-0.2063401470374867,-18.03076803843378,44.55658458046096
38995.20467393667,-0.2942970353592314,-21.34428406998361,28.50233399896196
40644.73885463578,-0.2601967512384759,-10.92516620300861,-19.00712639295764
42364.04989728618,-0.2518142290274167,-11.43522157462634,103.1627434589016
44156.08942939618,-0.3251124606524627,4.157309373461787,-124.4173310383077
46023.93393512021,0.218515569687639,10.83994708011989,17.55373803392738
47970.79003681312,-0.7799475782131522,13.31369113324754,-158.0595039766428
50000,-0.5934302228066479,13.18600050321129,-134.5158219024078
