#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18885
#Date Time: 2021-12-02 10:56:32.289
#Start: 100 Hz
#Stop: 50000 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 2
#Range: 60.4918 V
#Offset: -0.00337698 V
#Relative: yes

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (*)
6843.836142250362,-7.445724698484685,-151.6199494068686
7133.336908771306,-7.995951467613162,-153.1195606220693
7435.083832575129,-8.414287658292888,-153.2249470033944
7749.594937741685,-8.898738184465859,-154.3173114335195
8077.410161261253,-9.474299348047385,-154.7137123877012
8419.092279971408,-9.838470658117989,-156.3913136999911
8775.227876704274,-10.32938441419281,-157.872889897254
9146.428347302706,-10.8960894281963,-158.1094431667055
9533.33095023416,-11.34704716936979,-158.8585226189193
9936.599900604322,-11.68439844967009,-161.059320068034
10356.92751044845,-12.29355698064665,-161.3373324905829
10795.03537725818,-12.50813542206313,-162.3388912246641
11251.6756227842,-13.05400593861201,-164.648832551063
11727.63218424127,-13.58250922373467,-166.4630522734454
12223.72216013265,-13.99024921875897,-166.8995383819529
