#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A18885
#Date Time: 2021-12-02 11:30:20.134
#Start: 100 Hz
#Stop: 1.79e+06 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 2
#Range: 60.4918 V
#Offset: -0.00337698 V
#Relative: yes

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (*)
43328.02359860289,5.232071875318632,32.3925348100499
46251.01124850909,11.79521371912912,-7.187842174083897
49371.18898676678,13.58488024808495,-73.52234970833398
52701.85961708279,13.9904835402165,-166.311368647191
56257.22337461149,12.12882440574503,68.60303998898905
60052.43846832068,-10.07133223561961,71.46005761912119
64103.68570765506,-32.6298302528767,86.40289999283388
68428.23748903342,-47.27733170033918,84.35843940180254
73044.53143630095,-38.44989372599529,30.87257772236065
77972.24900910017,-38.10087955606561,-38.71079617055756
83232.39941430713,-38.86327353882168,78.06976342161499
88847.40917828647,-9.479324122011185,-162.6026220601746
94841.2177618533,-1.679231694669124,-118.1336164228001
101239.3796255969,0.4898037812916604,-5.937303069071248
108069.173180716,-0.9910787178600956,-5.391219134308656
115359.7170898776,-7.498541638772976,102.2117517081515
123142.0944139442,-25.42059216730845,56.11831420300048
131449.4851338649,-17.13814949527904,94.66513894596888
140317.3076127376,-9.388410139641195,125.5094219700212
149783.3696011581,-7.111918279602952,114.0822558121503
159888.0294296677,-8.112049648625373,90.65480331241963
170674.3680755373,-27.00168964384833,-91.91452313581749
182188.3728374908,-25.27592013349414,129.9472859915539
194479.1334014612,-11.95142544635754,-153.6282363310932
207599.0511333022,-12.50267094632229,-86.573065243371
221604.0624907657,-13.908212801576,-106.3033490370072
236553.8775072633,-13.70292361121695,-21.7596683634015
252512.2343641742,-16.6555015984798,-42.39745470025935
269547.1711370689,-16.35573156409672,-98.96806415086417
287731.3158744305,-21.11424075160791,130.0363764643096
307142.1962456121,-18.1691132091732,-160.4821626594315
327862.5700782174,-23.99678998687248,167.06838070306
349980.7781941316,-25.3664975643029,5.686602959793291
373591.121048519,-27.41130634474389,-163.3666038776997
398794.2607775754,-21.53628544263321,-136.7210419361331
425697.6503691541,-26.05058656246667,43.1625871790653
454415.9917860297,-31.0157320433494,-129.4566944210066
485071.7249949932,-33.7959379965708,-1.31951426156467
517795.5499867421,-29.24212780560278,-32.88044019126196
552726.98401219,-36.40084397557143,-138.1085637574211
590014.9564109506,-39.09696328667192,87.74130070422181
629818.4435680418,-44.28471900200429,-119.1079830283799
672307.1467059322,-41.02829940432124,123.578457356102
717662.215401668,-29.04887059183233,168.3768541926815
766077.0199138003,-22.40332339821597,-161.9002683504286
817757.9756118858,-28.81147536602195,143.2476096798288
872925.4230235164,-35.53329364770993,-177.6616050164228
931814.56725093,-34.71689164725244,-109.6077929768406
994676.4807623728,-34.14629467948561,-178.8175867037434
1061779.173833615,-31.84975204067517,-169.7235457078457
1133408.737203392,-33.91120334914729,-156.2121788835939
1209870.561814475,-30.6165314212109,-157.9047376079712
1291490.640840716,-43.1780415795457,-97.89706006547708
1378616.959551192,-37.08733892454499,-125.3918605575363
1471620.978937142,-37.08428931605673,-75.85619271234805
1570899.219427088,-36.88952834715043,-67.83585229168121
1676874.951442261,-47.8172224322839,-33.58295659732403
1790000,-32.47528160235032,-75.40190355075441
